Compound Name	SMILES	InChi	InChiKey	Strains	Protein	Reference	Protein ID from OG database	NCBI ID
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi BAV1	BvcA	PMID: 2320441	BAV1_0847	WP_010935886.1
trans-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+	KFUSEUYYWQURPO-OWOJBTEDSA-N	Dehalococcoides mccartyi BAV1	BvcA	PMID: 2320441	BAV1_0847	WP_010935886.1
Tetrachloroethene	C(=C(Cl)Cl)(Cl)Cl	InChI=1S/C2Cl4/c3-1(4)2(5)6	CYTYCFOTNPOANT-UHFFFAOYSA-N	Dehalococcoides mccartyi MB	MbrA	PMID: 20357835	MB_mbrA	GU120391.1
1,2,3,4-Tetrachlorobenzene 	C1=CC(=C(C(=C1Cl)Cl)Cl)Cl	InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H	GBDZXPJXOMHESU-UHFFFAOYSA-N	Dehalococcoides mccartyi CBDB1	CbrA 	PMID: 17933933	cbdbA84	CAI82345.1
Tetrachloroethene	C(=C(Cl)Cl)(Cl)Cl	InChI=1S/C2Cl4/c3-1(4)2(5)6	CYTYCFOTNPOANT-UHFFFAOYSA-N	Dehalococcoides mccartyi 11a5	PteA	PMID: 27856620	11a5_1355	AMU87181.1
Tetrachlorothene	C(=C(Cl)Cl)(Cl)Cl	InChI=1S/C2Cl4/c3-1(4)2(5)6	CYTYCFOTNPOANT-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	PceA	PMID: 10671186	DET0318	AAW40342.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi WBC-2	VcrA	PMID: 26452554; PMID:28007851	DCWBC2_1333	AOV99943
cis-1,2-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi WBC-2	VcrA	PMID: 26452554; PMID:28007851	DCWBC2_1333	AOV99943
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi WBC-2	VcrA	PMID: 26452554; PMID:28007851	DCWBC2_1333	AOV99943
Trichloroethene	C(=C(Cl)Cl)Cl	InChI=1S/C2HCl3/c3-1-2(4)5/h1H	XSTXAVWGXDQKEL-UHFFFAOYSA-N	Dehalococcoides mccartyi WBC-2	VcrA	PMID: 26452554; PMID:28007851	DCWBC2_1333	AOV99943
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi WBC-2	VcrA	PMID: 26452554; PMID:28007851	DCWBC2_1333	AOV99943
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE1	VcrA	PMID: 25934625; PMID: 23204411	KBTCE1_B1772_06705	AQY73737.1
cis-1,2-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi KBTCE1	VcrA	PMID: 25934625; PMID: 23204411	KBTCE1_B1772_06705	AQY73737.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE1	VcrA	PMID: 25934625; PMID: 23204411	KBTCE1_B1772_06705	AQY73737.1
Trichloroethene	C(=C(Cl)Cl)Cl	InChI=1S/C2HCl3/c3-1-2(4)5/h1H	XSTXAVWGXDQKEL-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE1	VcrA	PMID: 25934625; PMID: 23204411	KBTCE1_B1772_06705	AQY73737.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE1	VcrA	PMID: 25934625; PMID: 23204411	KBTCE1_B1772_06705	AQY73737.1
Trichloroethene	C(=C(Cl)Cl)Cl	InChI=1S/C2HCl3/c3-1-2(4)5/h1H	XSTXAVWGXDQKEL-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE2	TceA	PMID: 25934625; PMID: 23204411	KBTCE2_B1774_00360	AQU03914.1,AQU02578.1
cis-1,2-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi KBTCE2	TceA	PMID: 25934625; PMID: 23204411	KBTCE2_B1774_00360	AQU03914.1,AQU02578.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE2	TceA	PMID: 25934625; PMID: 23204411	KBTCE2_B1774_00360	AQU03914.1,AQU02578.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE2	TceA	PMID: 25934625; PMID: 23204411	KBTCE2_B1774_00360	AQU03914.1,AQU02578.1
Trichloroethene	C(=C(Cl)Cl)Cl	InChI=1S/C2HCl3/c3-1-2(4)5/h1H	XSTXAVWGXDQKEL-UHFFFAOYSA-N	Dehalococcoides mccartyi KBTCE3	TceA	PMID: 25934625; PMID: 23204411	KBTCE3_B1773_00500	AQU03914.1,AQU02578.1
cis-1,2-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi KBTCE3	TceA	PMID: 25934625; PMID: 23204411	KBTCE3_B1773_00500	AQU03914.1,AQU02578.1
